Linux 5.4.0-77-generic (ubuntu-dev-01) 	08/15/2021 	_x86_64_	(1 CPU)

02:37:57 AM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:38:02 AM     ens33      0.80      0.00      0.15      0.00      0.00      0.00      0.00      0.00
02:38:07 AM     ens33      0.40      0.00      0.07      0.00      0.00      0.00      0.00      0.00
02:38:12 AM     ens33      0.60      0.00      0.09      0.00      0.00      0.00      0.00      0.00
02:38:17 AM     ens33      0.40      0.00      0.06      0.00      0.00      0.00      0.00      0.00
02:38:22 AM     ens33      0.80      0.00      0.11      0.00      0.00      0.00      0.00      0.00
02:38:27 AM     ens33     28.40      1.20      9.37      0.22      0.00      0.00      0.00      0.01
02:38:32 AM     ens33      1.80      0.20      0.16      0.01      0.00      0.00      0.00      0.00
02:38:37 AM     ens33      1.40      0.00      0.13      0.00      0.00      0.00      0.00      0.00
02:38:42 AM     ens33      1.40      0.00      0.13      0.00      0.00      0.00      0.00      0.00
02:38:47 AM     ens33      0.80      0.00      0.07      0.00      0.00      0.00      0.00      0.00
02:38:52 AM     ens33      1.20      0.00      0.11      0.00      0.00      0.00      0.00      0.00
02:38:57 AM     ens33      1.00      0.00      0.08      0.00      0.00      0.00      0.00      0.00
02:39:02 AM     ens33      0.80      0.20      0.06      0.01      0.00      0.00      0.00      0.00
02:39:08 AM     ens33      0.80      0.00      0.06      0.00      0.00      0.00      0.00      0.00
02:39:13 AM     ens33      0.60      0.00      0.05      0.00      0.00      0.00      0.00      0.00
02:39:18 AM     ens33      0.60      0.00      0.05      0.00      0.00      0.00      0.00      0.00
02:39:23 AM     ens33      1.00      0.00      0.09      0.00      0.00      0.00      0.00      0.00
02:39:28 AM     ens33     27.15      1.20      9.17      0.22      0.00      0.00      0.00      0.01
02:39:33 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:39:38 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:39:43 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:39:48 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:39:53 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:39:58 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:40:03 AM     ens33      0.80      0.00      0.15      0.00      0.00      0.00      0.00      0.00
02:40:08 AM     ens33      0.40      0.00      0.07      0.00      0.00      0.00      0.00      0.00
02:40:13 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:40:18 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:40:23 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:40:28 AM     ens33     26.60      1.20      9.13      0.22      0.00      0.00      0.00      0.01
02:40:33 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:40:38 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:40:43 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:40:48 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:40:53 AM     ens33      0.80      0.00      0.31      0.00      0.00      0.00      0.00      0.00
02:40:58 AM     ens33      1.00      0.00      0.57      0.00      0.00      0.00      0.00      0.00
02:41:03 AM     ens33      0.60      0.20      0.17      0.01      0.00      0.00      0.00      0.00
02:41:08 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:41:13 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:41:18 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:41:23 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:41:28 AM     ens33     26.55      1.20      9.11      0.22      0.00      0.00      0.00      0.01
02:41:33 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:41:38 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:41:43 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:41:48 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:41:53 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:41:58 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:42:03 AM     ens33      0.80      0.00      0.15      0.00      0.00      0.00      0.00      0.00
02:42:08 AM     ens33      0.40      0.00      0.07      0.00      0.00      0.00      0.00      0.00
02:42:13 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:42:18 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:42:23 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:42:28 AM     ens33     26.55      1.20      9.11      0.22      0.00      0.00      0.00      0.01
02:42:33 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:42:38 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:42:43 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:42:48 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:42:53 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:42:58 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:43:03 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:43:08 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:43:13 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:43:18 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:43:23 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:43:28 AM     ens33     26.60      1.20      9.13      0.22      0.00      0.00      0.00      0.01
02:43:33 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:43:38 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:43:43 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:43:48 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:43:53 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:43:58 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:44:03 AM     ens33      0.80      0.00      0.15      0.00      0.00      0.00      0.00      0.00
02:44:08 AM     ens33      0.40      0.00      0.07      0.00      0.00      0.00      0.00      0.00
02:44:13 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:44:18 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:44:23 AM     ens33      0.60      0.20      0.05      0.02      0.00      0.00      0.00      0.00
02:44:28 AM     ens33     27.00      1.60      9.15      0.24      0.00      0.00      0.00      0.01
02:44:33 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:44:38 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:44:43 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:44:48 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:44:53 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:44:58 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:45:03 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:45:08 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:45:13 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:45:18 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:45:23 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:45:28 AM     ens33     26.60      1.20      9.13      0.22      0.00      0.00      0.00      0.01
02:45:33 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:45:38 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:45:43 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:45:48 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:45:53 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:45:58 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:46:03 AM     ens33      0.80      0.00      0.15      0.00      0.00      0.00      0.00      0.00
02:46:08 AM     ens33      0.40      0.00      0.07      0.00      0.00      0.00      0.00      0.00
02:46:13 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:46:18 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:46:23 AM     ens33      0.20      0.00      0.01      0.00      0.00      0.00      0.00      0.00
02:46:28 AM     ens33     26.60      1.20      9.13      0.22      0.00      0.00      0.00      0.01
02:46:33 AM     ens33      0.40      0.20      0.04      0.01      0.00      0.00      0.00      0.00
02:46:38 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:46:43 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:46:48 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:46:53 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:46:58 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:47:03 AM     ens33      0.40      0.00      0.07      0.00      0.00      0.00      0.00      0.00
02:47:08 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
