Linux 5.4.0-77-generic (ubuntu-dev-01) 	08/15/2021 	_x86_64_	(1 CPU)

02:06:09 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:13:35 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:13:40 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:13:45 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:13:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:13:55 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:14:00 AM     all      0.40      0.00      0.00      0.00      0.00     99.60
02:14:05 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:14:10 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:14:15 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:14:20 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:14:25 AM     all      0.61      0.00      0.61      0.20      0.00     98.58
02:14:30 AM     all      0.40      0.00      0.00      0.00      0.00     99.60
02:14:35 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:14:40 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:14:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:14:50 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:14:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:15:00 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:15:05 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:15:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:15:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:15:20 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:15:25 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:15:30 AM     all      9.33      0.00      2.03      0.20      0.00     88.44
02:15:35 AM     all      0.20      0.00      0.40      0.00      0.00     99.39
02:15:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:15:45 AM     all      0.84      0.00      1.69      0.00      0.00     97.47
02:15:50 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:15:55 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:16:00 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:16:05 AM     all      0.00      0.00      0.41      0.00      0.00     99.59
02:16:10 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:16:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:16:20 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:16:25 AM     all      0.20      0.00      0.20      0.00      0.00     99.59
02:16:30 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:16:35 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:16:40 AM     all      0.00      0.00      0.61      0.00      0.00     99.39
02:16:45 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:16:50 AM     all      0.00      0.00      0.41      0.00      0.00     99.59
02:16:55 AM     all      0.20      0.00      0.82      0.00      0.00     98.98
02:17:00 AM     all      0.20      0.00      1.42      0.00      0.00     98.38
02:17:05 AM     all      0.00      0.00      0.61      0.20      0.00     99.18
02:17:10 AM     all      0.41      0.00      1.66      0.00      0.00     97.93
02:17:15 AM     all      0.21      0.00      2.10      0.00      0.00     97.69
02:17:20 AM     all      0.21      0.00      2.73      0.21      0.00     96.86
02:17:25 AM     all      0.00      0.00      1.23      0.00      0.00     98.77
02:17:30 AM     all      0.21      0.00      1.67      0.00      0.00     98.12
02:17:35 AM     all      0.00      0.00      2.28      0.00      0.00     97.72
02:17:40 AM     all      0.41      0.00      1.45      0.21      0.00     97.93
02:17:45 AM     all      0.00      0.00      2.24      0.00      0.00     97.76
