Linux 5.4.0-77-generic (ubuntu-dev-01) 	08/15/2021 	_x86_64_	(1 CPU)

02:37:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:38:02 AM     all     86.97      0.00     12.83      0.20      0.00      0.00
02:38:07 AM     all     88.00      0.00     12.00      0.00      0.00      0.00
02:38:12 AM     all     86.80      0.00     13.20      0.00      0.00      0.00
02:38:17 AM     all     86.60      0.00     13.40      0.00      0.00      0.00
02:38:22 AM     all     86.00      0.00     14.00      0.00      0.00      0.00
02:38:27 AM     all     86.20      0.00     13.80      0.00      0.00      0.00
02:38:32 AM     all     86.40      0.00     13.60      0.00      0.00      0.00
02:38:37 AM     all     88.20      0.00     11.80      0.00      0.00      0.00
02:38:42 AM     all     14.92      0.00      2.42      0.00      0.00     82.66
02:38:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:38:52 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:38:57 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:39:02 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:39:08 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:39:13 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:39:18 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:39:23 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:39:28 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:39:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:38 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:39:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:53 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:39:58 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:40:03 AM     all      0.20      0.00      0.40      0.00      0.00     99.39
02:40:08 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:40:13 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:40:18 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:40:23 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:40:28 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:40:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:40:38 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:40:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:40:48 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:40:53 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:40:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:03 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:41:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:18 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:41:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:28 AM     all      0.20      0.00      0.20      0.00      0.00     99.59
02:41:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:41:38 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:41:43 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:41:48 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:41:53 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:41:58 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:42:03 AM     all      0.40      0.00      0.40      0.00      0.00     99.19
02:42:08 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:42:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:42:18 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:42:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:42:28 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:42:33 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:42:38 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:42:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:42:48 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:42:53 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:42:58 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:43:03 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:43:08 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:43:13 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:43:18 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:43:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:43:28 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:43:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:43:38 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:43:43 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:43:48 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:43:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:43:58 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:44:03 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:44:08 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:44:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:44:18 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:44:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:44:28 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:44:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:44:38 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:44:43 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:44:48 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:44:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:44:58 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
